,gene,slope,intercept,slope_pval,intercept_pval,-log10(slope_pval),-log10(intercept_pval)
RP11-206L10.9,RP11-206L10.9,-0.025259708465501293,0.11971528960400386,0.0731901955833496,0.032374103344499104,1.1355470922917965,1.4898022512637072
AL669831.1,AL669831.1,0.0,0.0,,,,
FAM87B,FAM87B,-9.271443835914047e-05,-0.002506132132490428,0.9790503988750711,0.8572138084543189,0.009194951312325493,0.06691084172818705
LINC00115,LINC00115,0.02333338648046412,-0.15018697464187927,0.07939761772163052,0.005067044515666451,1.1001925281254414,2.2952452802715206
FAM41C,FAM41C,-0.01810441128884715,0.08302525547280892,0.2398431098579938,0.17268052878263326,0.620072753302458,0.7627566301163714
AL645608.2,AL645608.2,0.0,0.0,,,,
RP11-54O7.16,RP11-54O7.16,-0.0018922890702143475,-0.00011850142507151989,0.26138141257551684,0.9856956692520422,0.5827252993220503,0.006257151555583687
RP11-54O7.1,RP11-54O7.1,0.0003254075774908724,-0.010485333485794033,0.9728118705424702,0.7807709391154443,0.01197113864736973,0.10747635980944877
RP11-54O7.2,RP11-54O7.2,0.0020090657019589068,-0.001144510189773245,0.5946096190700191,0.9386646614865111,0.22576806944113803,0.027489531990646368
RP11-54O7.3,RP11-54O7.3,0.004892712783108106,-0.0066721462390720715,0.6491226632561884,0.8749152814617613,0.1876732277887912,0.058033997920484366
SAMD11,SAMD11,-0.10816621280930899,0.44192849768423204,0.0008597282807415849,0.0005801654397896113,3.0656387869199957,3.2364481455018232
AL645608.1,AL645608.1,0.00017940975330222475,-0.0003912828547087448,0.8492360003575199,0.9162853179690883,0.07097160373681762,0.037969272265166464
NOC2L,NOC2L,0.06313453625836697,-0.34080169632959867,4.429294378448835e-06,3.8114664078586004e-09,5.3536654548050215,8.418907903506684
KLHL17,KLHL17,0.016645098411603755,-0.04325804472029192,0.19942446385856882,0.39596987795738614,0.7002215668514005,0.40233785027260904
PLEKHN1,PLEKHN1,0.02038511039879679,-0.1517265574179339,0.21611170991177095,0.02167550851926179,0.6653217004361287,1.6640307049466208
C1orf170,C1orf170,-0.010846204850616933,0.03275156037966224,0.018927939935814434,0.06964273593385986,1.7228966508641659,1.1571241758424937
RP11-54O7.17,RP11-54O7.17,0.0029161972942788506,-0.04833972540854506,0.8055161361191605,0.30292550702483423,0.09392575535982238,0.5186641565326306
HES4,HES4,-0.04009059786255749,0.06580744220360435,0.01119206008794623,0.28002001698277657,1.9510899668692108,0.5528109223919178
RP11-54O7.11,RP11-54O7.11,0.0030965952677428276,-0.009036080208111672,0.1944079223177939,0.33548111704555206,0.7112860411134659,0.47433191958950266
ISG15,ISG15,-0.035646231410754736,0.08057777846974963,0.25935778625735295,0.5164906919696242,0.586100709390683,0.28693750079035296
AGRN,AGRN,0.0075080872885461905,-0.004162237493524559,0.6596636567273954,0.9506092667384864,0.18067744212468406,0.02199795642693877
RP11-54O7.18,RP11-54O7.18,0.0036681081024211187,-0.013684882945479837,0.02534024375727826,0.03403056723098919,1.5961892117915,1.4681308119022662
RNF223,RNF223,-0.008066108837951292,-0.036143483232209804,0.4636227294887425,0.4054164953583319,0.3338352805394182,0.3920985849539144
C1orf159,C1orf159,0.027714466026334386,-0.13958355931223507,0.07465061705440038,0.02400902210653605,1.1269665980901473,1.6196255285054095
RP11-465B22.5,RP11-465B22.5,1.3966395532531529e-05,-0.0005032526757102477,0.9524519754978282,0.5864390151907848,0.02115691308236971,0.23177714423592666
RP11-465B22.8,RP11-465B22.8,-0.017864710703567994,-0.00043637819808282907,0.25632048955633097,0.9943599227097617,0.5912166761193813,0.002456388083983321
TTLL10-AS1,TTLL10-AS1,0.002354046454865876,0.0018186675673901671,0.3405683988827001,0.851370210656322,0.4677956524027042,0.06988154980595115
TTLL10,TTLL10,-0.0035378693411551453,0.0010954474550018446,0.6246705126208467,0.9693340180245993,0.20434899430738598,0.013526545767668822
TNFRSF18,TNFRSF18,-0.0049074033071125215,0.023305737388470936,0.7781638006920896,0.7345200808068696,0.10892897595496186,0.1339963266750801
TNFRSF4,TNFRSF4,0.010828366391344067,-0.028394558185345756,0.28850396148409696,0.4792422205316711,0.5398482191152808,0.31944492823099363
SDF4,SDF4,0.021215876421336242,-0.10674280712333724,0.06740589821221853,0.020756158823353202,1.1713020997711445,1.6828530148010652
B3GALT6,B3GALT6,0.02614126828229113,0.33651631467425014,0.08816983371623718,4.919145879400469e-07,1.0546799782639655,6.308110298058836
FAM132A,FAM132A,-0.02873145489284957,0.0693725362731457,0.04166978485973711,0.20738181695360616,1.380178741790627,0.683229324817252
RP5-902P8.12,RP5-902P8.12,0.0027495416242292736,-0.013962093582629762,0.454601634112751,0.33650183592925287,0.3423690074916572,0.47301256195480795
UBE2J2,UBE2J2,0.027920275408084633,-0.14098293521266686,0.029563400307205095,0.005945851325047602,1.5292456159562526,2.225785954451411
RP5-902P8.10,RP5-902P8.10,-0.0011176554970682225,-0.001389176595803188,0.7594615681488976,0.9231108987909561,0.11949419831622542,0.0347461214661696
SCNN1D,SCNN1D,0.005654836100801719,-0.032464613324185765,0.43579881110295204,0.2580898812702982,0.3607139588812542,0.5882290221691039
ACAP3,ACAP3,0.017816643379244733,-0.1490710816071855,0.3434719970645489,0.04737487379781977,0.4641086647648047,1.3244519339417282
PUSL1,PUSL1,0.04064873440046057,-0.19918186164242402,0.00650945573036901,0.0008827486483739073,2.1864553222119882,3.0541629387370577
CPSF3L,CPSF3L,0.02243163121089008,-0.18648015377309285,0.10325666857505329,0.0009334403416034165,0.9860818909371666,3.0299134336231845
