,AT1,AT2,Aberrant Basaloid,Basal,Ciliated,Secretory,capillary EC,ectopic EC,lymphatic EC,Fibroblasts,Myofibroblasts,Pericytes,SMC,Macrophages,SPP1+ Macrophages,DC,Mast cells,B cells,Plasma cells,T cells,NK cells
56,RNASE1,CD9,GDF15,HSP90AA1,SPTY2D1,EMP2,MT-ATP6,SLC4A7,CALCRL,EEF1A1,CELF2,TUBB2A,TCF4,MS4A6A,RPL37A,HNRNPU,RPS16,SKP1,GADD45A,CEP55,RPL5
57,PEG10,GPRC5C,IFRD1,PPIL6,IST1,PIK3R3,ACE,RPL39,FLT4,DSTN,OGFRL1,KLF4,RPL37A,RPS2,PTMA,SURF6,CYCS,ZUP1,MTG2,EIF1,RGS3
58,S100A9,DPYD,XBP1,FANK1,ZFP90,MT-CO3,SPARCL1,EXT1,HLA-E,GLRX,PTGDS,TCF21,GAP43,C9orf16,HSP90AB1,UBE2L6,ATOX1,GSK3A,MED31,AC021066.1,LCN2
59,TMEM238,INSIG1,CCT4,CSKMT,SZRD1,PDIA6,MEF2C,RPS5,RPL13A,TNC,EPHX1,HSPA9,ID4,CSTB,FAU,MPZL1,EDF1,FTO,HNRNPH2,SDCBP,CREM
60,C3,S100A9,PHLDA2,CETN2,RAB5C,S100A2,TSC22D1,RPL8,WFS1,CAVIN3,FOXN3,WARS1,TPM2,CXCL2,RPL7,HACD3,ODC1,PLEKHM1,COX6A1,ITPRID2,RPS8
61,VKORC1L1,TST,GOLGA4,OAZ1,ATF3,RPL23A,ACTG1,RPL29,PECAM1,NBL1,BRD2,MED10,RPS4X,FCGR1A,LYZ,PLP2,SRP19,POLE4,DHX36,ORC6,ITGB1
62,CD55,CHI3L1,PMAIP1,ANKRD37,SOAT1,RPL7,ARHGAP29,RPL36,GNAS,GAPDH,LPP,HSPB6,ITGA10,JPT1,LGALS3,PDIA6,RPS27L,ATP6V1E1,PAFAH1B1,PRC1,SHC1
63,DCXR,CRTAC1,TRIB3,RABGGTB,SRPRA,PPA2,RPS4X,FAU,GMFG,RPL29,GNAS,CYCS,FHL1,SAMHD1,TPT1,RXRA,TMEM208,SMURF2,USO1,GCC2,LIPA
64,MALL,STEAP4,MUC20,MTRNR2L12,SOX4,RPL15,SMAD1,RPL41,STON2,EFEMP1,PAG1,ESAM,CRIP2,BRI3,CHCHD10,TRAF4,POLR2L,TBC1D7,SARAF,UBE2C,MPC2
65,MT1E,ATP1A1,PSMC6,UBXN11,CLPP,CEACAM6,ACVRL1,SSR3,CCND1,MDK,DLC1,ELOC,SNCG,FPR3,RPS5,PKD1,MYDGF,MAFG,VAMP2,DDX17,FIS1
66,EMP2,CAT,PSMD7,FBXO7,METTL4,RPL7A,DOCK6,RPL18A,EMCN,P4HA3,PLS3,SPARCL1,BTG1,LILRB5,RPL35,TSPAN14,COX5A,C12orf45,H2BC15,HIF1A,MAF
67,NKX2-1,APLP2,ZBTB43,LRRFIP2,SMG6,SSU72,CAV1,RPS15A,CD34,MMP2,CHI3L1,HNRNPF,SPARC,CCND3,RPLP0,ELK4,ATP6V0B,ZRANB1,UBE2D2,KHDC4,RELA
68,FGFBP1,CLDN4,GPBP1,RNF7,NCOA7,CLDN10,POMP,DUSP1,AFAP1L1,TMEM158,TGFBR3,A2M,IGFBP3,PFN1,NACA,RIPOR2,DSTN,PITHD1,BANF1,NR1D1,RGCC
69,AHCYL2,ITGA3,MAP1LC3B,RPL21,ELOA,FMO2,RPLP0,RPL30,LYVE1,HLA-A,ZBTB38,GUCY1A2,PDE5A,CALM3,RPS21,GOLT1B,NDUFB9,CEP44,NIPBL,TIPARP,RPL21
70,RAB3D,PPIB,NFIL3,RPS16,KANSL1,C2,MYH9,RPL26,MYL6,PEBP1,SLC38A2,GNL3,SDC2,TUBA1B,RPL35A,EEF1B2,RPLP2,PCGF3,LARP1B,CLK1,NEK7
71,RPL3,CD302,HERPUD1,ZBTB43,PRKAR1A,SLC4A4,STC1,FNDC3A,HSPB1,TUBA1A,CCND2,PDGFA,TMEM47,UCP2,RPL34,LY96,RPS18,ATP7A,PPIB,RPS3A,HBA1
72,TM7SF2,YIPF3,PLEKHB2,TLE4,OSBPL8,MRPS6,NPDC1,CXCL12,CCL21,ITGA2,STOM,BCAM,YBX1,AVPI1,RPL14,CEBPB,ADRM1,SP3,NDUFB4,CKAP2L,RPL35A
73,CAV1,TMC5,PPP2R2A,CAPS,MYC,SIAE,RPS2,ACTN1,PHACTR2,FCGRT,FHL1,PPP2R2A,RAMP1,ME1,RPL24,ARMCX3,RPL18A,IARS1,FAU,RBM39,TPT1
74,FASN,MUC1,PPIG,NCOA7,TNIP2,ATP1A1,MGST2,RPS19,FABP4,NDUFS5,NFIX,CIAO2B,MEF2C,LST1,RPL4,PLAUR,SLC25A5,UQCR10,CMPK1,CTSD,RAMP1
75,CSTB,LRP5,ARF4,PHF1,CPNE2,LRP5,CLDN5,RPL6,MT-CYB,TIMP2,LAMB1,CALM2,RHOC,RPS9,FABP5,CALR,NAA10,EIF2AK3,TMBIM6,TYMS,DYRK4
76,ETV1,CAPN8,CEACAM6,SLC44A4,CEBPG,MAL2,EFNB2,HBEGF,MMRN1,RPL10A,CCDC85B,CRIP2,RPL8,RNASE1,RPL37,CXCL8,ZNF593,SH3GLB1,PSMB1,LAYN,SQSTM1
77,LRP6,CFI,ELF1,LRRIQ1,POLR3D,KRT18,CDH5,RPS12,CDH5,RPL7A,ARHGEF12,PCMT1,ARHGAP24,ACP5,RPL39,PDXDC1,CEBPG,DDX49,ISCA1,CKS2,C20orf27
78,CD81,NAPSA,NET1,C9orf135,HNRNPA2B1,RPL10A,GJA1,RPS14,FAM43A,SPON1,CCN4,GADD45A,GPRC5C,GCHFR,RPS25,MGAT4A,HSP90AA1,RPL30,EMP3,HEXIM1,MRPL48
79,MGST1,NFIA,ERRFI1,ZMYND10,QKI,SEL1L3,ADAM15,NPM1,EHD2,RPS14,RHOBTB3,ARHGDIA,RPL7A,NPC2,RPL36,LEPROT,PFN1,MCM7,N4BP2L1,HSBP1,S100A9
80,LRPAP1,CFTR,RAP1B,DDX3X,GFOD2,MT-CYB,UNC5B,RPS25,SNRK,TPI1,CKB,MEF2C,RPS23,FCGR3A,UQCRH,PRDX2,COX7A2,RPS27A,TIMM17A,SERTAD2,ME2
81,RPS9,CALR,CCNL1,RYBP,CES1,SMIM31,PLAUR,RPS7,FKBP8,CRYAB,RPL39,SAP18,GPX3,CD52,RPLP2,ACTN1,PARK7,NDUFA12,TUBA1B,SHCBP1,RPS12
82,IDH1,BMP3,ZFAND5,HNRNPU,EPC2,CD55,SNRK,RPL11,MARCKSL1,LY6E,DPYSL2,SPRY1,TGFB1,KCNMA1,TUBA1B,SGK1,RPS7,ZNF557,PSMD3,SAFB2,MT-ATP6
83,ASPH,MALL,SQSTM1,LMO7,FOS,RPL22,TMSB4X,PECAM1,JCAD,RPL13,MRPS6,RPS27L,CD9,ADA2,EEF1A1,MIF,NDUFA6,REPS1,VDAC2,RPL7,GPR171
84,CD9,DHCR24,HNRNPDL,SAA1,TENT4B,AQP5,CCDC85B,PLP2,TUBA1A,MSRB2,EFEMP1,ZFPL1,AQP1,SPI1,ATP5F1D,RNF130,NXT1,TIMM23,RTF1,RTN4,RPS18
85,LCN2,MLPH,IL6R,SAFB2,MACROD1,RPL5,UTRN,H2AZ1,TSTA3,HSD11B1,HEXB,PDK4,RPS2,CD36,ATP5MC3,RNMT,UBE2M,PDPK1,LMAN1,ERGIC1,SELL
86,RPL22L1,SCGB3A2,TRA2B,FXR1,ACADVL,CITED2,LYVE1,YWHAH,KLF2,RPL13A,ABCA9,TGFB2,MAP1B,PLCB2,RACK1,ITPRID2,RPL13,RPS7,S100A6,PDLIM5,AGR3
87,LAMP3,SLC5A3,CLK1,EIF4H,SART1,PLEKHJ1,RPL13A,PNP,NPPA,RPS9,HNRNPU,CRIM1,WFDC1,LGALS1,SLC25A6,PLIN2,SRM,POLR2I,CDK5RAP3,ASF1B,KLF2
88,S100A10,SFTA3,JOSD1,PPP4R2,ZNF440,RPS4X,BCL6B,MT-CO3,PLP2,ID3,MAP4K4,RPS21,GUK1,ITM2B,RPL22,SEC63,GCLM,RFLNB,LAP3,TOP2A,ARL5A
89,ANXA10,SELENBP1,KCMF1,ECRG4,ETNK1,RPS5,NOTCH4,RPS27,SEMA3A,SCG2,RPS16,H3-3B,RPL21,MPEG1,APRT,TSPAN4,SF3B6,TBCA,SHKBP1,TPX2,CD226
90,EGR1,PLOD2,PARD6B,MAPK6,KAT5,FOXA2,RPS8,RPL35,PTMS,TPT1,ADAMTS1,DGKH,ACTN1,C1QC,CHI3L1,NDRG1,WTAP,PPP1CB,RNF114,RPL35A,LGALS9B
91,HPCAL1,FBXO2,ZNF165,C5orf49,SETD2,EPHX1,RALGAPA2,CALCRL,UACA,CAPZB,RPS27,HSPB8,MYL9,SECTM1,SERF2,CUTA,TYMP,STIM2,ARHGDIA,SF1,MFF
92,TMEM45B,DHCR7,HNRNPF,RPL31,DDIT3,RNF24,KANK3,MYCT1,ZBTB4,CD151,EPAS1,SAFB2,RPS9,ANXA2,NPM1,NFIC,KRT10,HSD17B11,SMIM10L1,CCNG2,RPL37
93,C2,SELENOP,HSPA1B,KHDC4,GNAQ,CLNS1A,KIT,PPP1R14B,ACTG1,SERF2,ABHD17C,GPX3,MICAL2,ACE,RPL23,DYRK2,GNG5,ORAI1,PCF11,FCER1G,TMSB10
94,GMDS,NDRG1,SPAG9,OGA,VWA3B,CELSR1,VWF,RPS27A,CFL1,MMP1,BLVRB,COX6A1,LRRC17,STAC,COX5B,PJA2,NIBAN1,KLF3,CXCR4,INPP5F,YBX1
95,TSPAN8,PCYOX1,LMO3,SPAG6,PSMD11,RPS14,ACTB,CISD1,ANXA2,ARL6IP5,KCNJ8,AARS1,ACTA2,FUCA1,MT-CO2,EPN1,RPS15A,KANSL2,ATP5MD,YTHDC1,DOK1
96,ANXA1,MT-ND1,TJP1,C9orf116,CHD7,EID1,EMCN,RPL7,ITGA6,PLAC9,NFIB,SYNE2,BGN,RPL12,EIF3K,DPAGT1,TPI1,DGUOK,H1-2,LUC7L,HSH2D
97,ATP11A,ATP8A1,DDX21,EPS8,RNF149,TSEN34,PPM1F,NDUFS5,CCT5,LAMC1,IMPDH2,TOB1,C2CD4A,ACTG1,COX4I1,ITGB1,BZW1,LARP4,POLR2L,PNISR,RPS16
98,AKR7A2,LAMB2,TNFRSF12A,IFRD1,FUS,SOX2,ANGPT2,CD59,MTUS1,TBX2,TCF21,ISYNA1,RPL13,RPS19,RPS3,FOSB,PFDN2,TENT4A,GNAI2,BIRC5,BLM
99,HLA-DRB1,NUCB1,TERF2IP,HSPD1,DLGAP4,S100A6,MARCKSL1,ITGA6,RELN,COL14A1,NDRG2,CADM1,RPL15,FOLR2,VIM,VPS11,P4HB,TRNT1,PSMD13,FCGR3A,CAPZB
