,names,scores,logfoldchanges,pvals,pvals_adj
105,PDK1,5.789179,1.1283734,1.0249184903581827e-08,2.392590519339772e-07
106,OGT,5.774383,1.1245353,1.0826355839412181e-08,2.515175865624977e-07
107,ERC1,5.751588,1.7954837,1.3440107461832913e-08,3.052689037952625e-07
108,NKTR,5.748771,1.4955318,1.3214287100842173e-08,3.012015983162481e-07
109,CD44,5.7429485,1.0485195,1.3009244254649261e-08,2.9758068899185277e-07
110,HEXIM1,5.7420964,2.3133,1.4545414021083213e-08,3.2882842995733033e-07
111,TFRC,5.712874,3.1296134,1.7777368140023442e-08,3.967883935086756e-07
112,Z93930.2,5.697148,2.129988,1.9019404673248084e-08,4.2353234208434585e-07
113,JUNB,5.6896544,0.8494823,1.6887296789127028e-08,3.786711828735921e-07
114,FNDC3B,5.6873,0.8765963,1.749279340153252e-08,3.908880967147076e-07
115,NUAK2,5.6662602,2.758573,2.271652275059914e-08,5.000998499388733e-07
116,RBM39,5.6574593,0.8552747,2.054437563474589e-08,4.5539247321560014e-07
117,ATP2A3,5.6437545,1.2926115,2.292793806494065e-08,5.041798803836608e-07
118,RNPEPL1,5.6070585,1.8244296,3.018991625203631e-08,6.549335983995962e-07
119,IGKV3D-15,5.5910316,2.9214144,3.5252501444268445e-08,7.562659272100608e-07
120,PECAM1,5.585427,0.93710816,3.122337836057724e-08,6.758305490835359e-07
121,DYNC1H1,5.574628,1.4783175,3.443864814319833e-08,7.413442462390873e-07
122,GAS6,5.5559187,0.9024648,3.683125155247743e-08,7.875124571436242e-07
123,ACADVL,5.5485315,0.8940351,3.849450576448114e-08,8.212586113925562e-07
124,AL355075.4,5.4801574,5.3554263,6.736456671808493e-08,1.3852018192487912e-06
125,MYLIP,5.464993,2.0300293,6.540176726670027e-08,1.3477086988252126e-06
126,PTCH2,5.457169,1.8752201,7.019574796573338e-08,1.4403541533223573e-06
127,MT-ND4,5.4487123,0.671072,6.455415375031532e-08,1.3330846558117999e-06
128,IKZF1,5.4105887,1.3496536,8.508117599963261e-08,1.7347405600178254e-06
129,HIST1H2AM,5.3813496,2.7013836,1.0725084880991038e-07,2.1549393520236567e-06
130,GAB1,5.371272,1.5710318,1.076364439705893e-07,2.1604411479828873e-06
131,PARD6G-AS1,5.3671675,3.5588355,1.1672151979439872e-07,2.3258868619648795e-06
132,TLE4,5.360298,1.6632425,1.1245751002425482e-07,2.2455487719615924e-06
133,LINC00309,5.307511,3.2847254,1.6216663719412508e-07,3.1952282674059567e-06
134,IGKV3D-20,5.295658,2.8600333,1.646021197210053e-07,3.2382343632225956e-06
135,GOLGA8B,5.2955832,1.9235213,1.646843798979674e-07,3.2382343632225956e-06
136,ERO1B,5.2949543,1.3268864,1.5726838714211154e-07,3.105808145512992e-06
137,ITGA8,5.2615128,1.8451935,1.9096823859628638e-07,3.713506120550925e-06
138,GOLGA3,5.2204432,1.4876826,2.3653860224707703e-07,4.531273184176166e-06
139,ERAP2,5.2204237,2.2396104,2.450766002893246e-07,4.680914631415371e-06
