,names,scores,logfoldchanges,pvals,pvals_adj
5028,AXIN1,2.9234416,2.268497,0.0035399026802165274,0.012259949633740415
5029,CRLS1,2.922739,0.92467844,0.0035259595623133516,0.012216037350771602
5030,ZNF785,2.9220183,2.8130639,0.0035587521281939065,0.012316404634889888
5031,FOXRED1,2.9205077,1.1383867,0.003556032531393106,0.012309196418212275
5032,SELENOF,2.9200943,0.45030418,0.0035531778923314026,0.012301518087206463
5033,SPATA2L,2.9195216,0.8874591,0.003561564174103655,0.012323930168501529
5034,C4orf47,2.9193006,4.1202016,0.0036128654256643916,0.012483567360147841
5035,TMEM9B,2.9189367,0.5970472,0.003566374621564332,0.012338366755005721
5036,TMEM214,2.9185007,1.1765254,0.0035787746989514525,0.012376835955632963
5037,TRIM65,2.9178631,1.5935653,0.0035889295669297014,0.012405296780969991
5038,MED4,2.9177213,0.66289204,0.0035804168977971525,0.012380300217803427
5039,FBXO22,2.9175932,1.0754606,0.0035875441815943943,0.012402726075127535
5040,RAE1,2.9155438,0.72606814,0.003605805739516523,0.012461401598268347
5041,RNF122,2.9155035,1.6809921,0.0036263307759167073,0.012523378161103098
5042,NKAP,2.914835,0.74374473,0.003615237895164703,0.012487300442394308
5043,HACD2,2.913785,1.1525124,0.0036304052903670904,0.012535209692301801
5044,INTS1,2.9131603,1.3511214,0.0036381458796793205,0.012559693107398033
5045,ZNF418,2.9128642,23.969929,0.003690950457783572,0.012723806206259795
5046,ARL17A,2.9123108,2.1144783,0.003654907096385342,0.012613051109807583
5047,CASTOR1,2.9122975,2.499672,0.00367030953753823,0.012659424170427633
5048,HKR1,2.9106853,1.2611004,0.0036650748772247463,0.012643625254663058
5049,CNDP2,2.910493,0.5789711,0.0036638500896181946,0.012641656262447355
5050,MAP3K14,2.9091003,0.9788058,0.003681399010138103,0.01269540793344503
5051,SKAP1,2.9080272,1.0320959,0.003693255582846814,0.012729482375329185
5052,TAMM41,2.9073215,1.0055697,0.003703266859115707,0.012761712447824479
5053,RRP1B,2.9070413,0.74477726,0.003704824048508262,0.012764802858042103
5054,PTGES2,2.9051127,0.7375483,0.0037273695990029197,0.012840193722888511
5055,FAM193A,2.9041808,1.1760557,0.003743043466776913,0.012891890087193682
5056,ING4,2.9030044,0.9409789,0.003753484009366172,0.01292554648441809
5057,LPAR2,2.902634,1.3862633,0.0037704021508893747,0.012981493262297956
5058,EPB41L2,2.9023252,1.5094813,0.0037758569341293157,0.012997706332934279
5059,MDGA1,2.9015923,23.781052,0.0038247796562838033,0.013152315597991395
5060,TMUB2,2.9009926,0.69210744,0.0037764560383754414,0.012997706332934279
5061,GLE1,2.8997924,1.0513582,0.003795858916914572,0.013059835707554604
5062,ENOSF1,2.8995686,1.2417948,0.0038038197066296527,0.013084896086393408
5063,IDH3B,2.8995523,0.68437886,0.003794431175548736,0.013057247675303812
5064,SMARCA5-AS1,2.8988826,3.3813465,0.0038504651995380636,0.013228873416614155
5065,GTF3C4,2.897708,1.478234,0.0038237238624185743,0.013151024650656337
5066,SHF,2.897458,3.9956036,0.003866606866087997,0.013272534916465085
5067,OXNAD1,2.8972294,1.4253111,0.003829541248590625,0.01316166479267571
5068,LANCL1,2.8971584,1.2952721,0.0038277417158632215,0.013157819602688992
5069,ZNF700,2.8957455,1.5799983,0.003848253987621537,0.013223626902530965
5070,TBC1D19,2.895257,2.1185856,0.0038650165154090798,0.013269432367023463
5071,ZDHHC3,2.8947918,0.83896047,0.003853313404913982,0.013236306167332923
5072,WWOX,2.8944361,1.9060007,0.0038780131204730266,0.013297519177864668
5073,RNF126,2.8943512,0.5910648,0.0038562372321196132,0.01324399599496091
5074,HSDL1,2.8943222,1.9770439,0.003873818935201431,0.01328785203167852
5075,DHRSX,2.8943033,0.8668934,0.003858059341107641,0.013247899982993356
5076,DPY19L4,2.894042,1.7287074,0.0038712201105098386,0.013283652319553465
5077,SBF1,2.892692,0.9510176,0.0038777728789069522,0.013297519177864668
5078,RSL1D1,2.891624,0.4229814,0.003889620706159915,0.013334955414928166
5079,ERLIN2,2.891266,1.8138813,0.003908340356780628,0.013394381339754036
5080,NME3,2.890327,0.593931,0.0039055449635225846,0.013387174782750139
5081,PGRMC2,2.8897102,1.0419936,0.003917002032175871,0.0134216862754702
5082,SIGMAR1,2.889579,1.1593784,0.00392543482449268,0.013448197398549983
5083,EPM2A,2.8884826,3.3021832,0.003963616478742408,0.013574192579307585
5084,POP1,2.8876958,2.2628314,0.003970709803467508,0.01359366804662123
5085,NIPSNAP3B,2.8868809,1.458873,0.003954658073729352,0.013545912795873588
5086,AL353708.3,2.8860774,1.8989121,0.003974568180708037,0.013604467569489222
5087,ANKRD46,2.8859787,1.505399,0.0039690103443970615,0.013590257032214493
5088,MIR4422HG,2.8857627,2.534647,0.00398377553150431,0.013628742875831294
5089,KLC2,2.8852522,1.420771,0.003977259860910506,0.013611270511958071
5090,AC117382.2,2.8848314,24.04443,0.004031955588685744,0.013776501603978565
5091,HS3ST3B1,2.8837357,3.9449835,0.004041170441414944,0.013803107167716815
5092,TMEM68,2.8823886,1.537429,0.004013468566665629,0.013723038019649733
5093,ZER1,2.8821566,1.6407776,0.0040155666874035845,0.013727783604673485
5094,C9orf78,2.8817298,0.51584375,0.004013000398915253,0.013723038019649733
5095,RBM47,2.881288,1.0617232,0.004022526558920782,0.013749145156035331
5096,WDTC1,2.8810525,1.1314346,0.004023757670649436,0.013750921502118629
5097,ABCC4,2.8807278,1.7051926,0.004035268878135064,0.01378538567435006
5098,TSC2,2.8798604,1.4176674,0.004044904050493301,0.013813418797170497
5099,CKAP4,2.8782456,1.9033304,0.004072479619537964,0.013905133115359352
5100,WDR17,2.877775,3.3129826,0.004109393618052033,0.014013844256056413
5101,SLC26A2,2.876707,1.8702731,0.004089575366926324,0.013956109157365627
5102,SETD6,2.8764184,1.655807,0.0040929802952853755,0.013965263217576527
5103,CDYL2,2.876261,3.259033,0.004132972768678051,0.014086651110214274
5104,PERP,2.8761234,1.8630354,0.004098804324695967,0.013980199186879894
5105,CFAP20,2.8760366,0.8665914,0.004088930568732671,0.013956109157365627
5106,PGBD2,2.8756819,1.4442682,0.004097785271707123,0.013979190172401512
5107,ERLIN1,2.8739724,1.6562647,0.0041254110781883385,0.01406598531139573
5108,FTO,2.8734438,1.3527982,0.004127990041065827,0.014072296208776256
5109,ZNF599,2.8733923,2.8702583,0.004146614709901147,0.014128312308774772
