,Unnamed: 0,from,to,source,database
11375,11376,ADM,ADRB2,ppi_lr_go,ppi_prediction_go
11489,11490,HMGB2,AR,ppi_lr_go,ppi_prediction_go
11664,11665,ADM,ADORA2A,ppi_lr_go,ppi_prediction_go
11736,11737,CD320,TGFBR2,ppi_lr_go,ppi_prediction_go
12012,12013,IL23A,ESR2,ppi_lr_go,ppi_prediction_go
12113,12114,TNF,PIK3CB,ppi_l_bidir_go,ppi_prediction_go
12125,12126,TNF,FAT1,ppi_l_bidir_go,ppi_prediction_go
12126,12127,TNF,CELSR2,ppi_l_bidir_go,ppi_prediction_go
12146,12147,HMGB2,DSG2,ppi_l_bidir_go,ppi_prediction_go
12156,12157,HMGB2,CDH1,ppi_l_bidir_go,ppi_prediction_go
12157,12158,TNFSF10,PIK3CB,ppi_l_bidir_go,ppi_prediction_go
12219,12220,ITGB1,PTK2B,ppi_bidir_r_go,ppi_prediction_go
12224,12225,ITGB1,RACK1,ppi_bidir_r_go,ppi_prediction_go
12225,12226,ITGB1,CD46,ppi_bidir_r_go,ppi_prediction_go
12226,12227,ITGB1,ENG,ppi_bidir_r_go,ppi_prediction_go
12270,12271,ITGB1,DAB2,ppi_bidir_r_go,ppi_prediction_go
12271,12272,ITGB1,SLC1A5,ppi_bidir_r_go,ppi_prediction_go
12285,12286,PIK3CB,GFRA1,ppi_bidir_r_go,ppi_prediction_go
12286,12287,PIK3CB,IL5RA,ppi_bidir_r_go,ppi_prediction_go
12288,12289,PIK3CB,KLRD1,ppi_bidir_r_go,ppi_prediction_go
12289,12290,PIK3CB,PTK2B,ppi_bidir_r_go,ppi_prediction_go
12291,12292,PIK3CB,TREM2,ppi_bidir_r_go,ppi_prediction_go
12362,12363,ITGB1,VTN,ppi_bidir_r_go,ppi_prediction_go
12363,12364,PIK3CB,ITGB4,ppi_bidir_r_go,ppi_prediction_go
12364,12365,PIK3CB,ERBB3,ppi_bidir_r_go,ppi_prediction_go
12385,12386,PIK3CB,TNFRSF10B,ppi_bidir_r_go,ppi_prediction_go
12391,12392,PIK3CB,IL2RA,ppi_bidir_r_go,ppi_prediction_go
12396,12397,PIK3CB,NTRK1,ppi_bidir_r_go,ppi_prediction_go
12401,12402,PIK3CB,FCGR3A,ppi_bidir_r_go,ppi_prediction_go
12403,12404,PIK3CB,CD3G,ppi_bidir_r_go,ppi_prediction_go
12404,12405,PIK3CB,FGFR1,ppi_bidir_r_go,ppi_prediction_go
12406,12407,PIK3CB,FCGR2A,ppi_bidir_r_go,ppi_prediction_go
12411,12412,PIK3CB,IL2RB,ppi_bidir_r_go,ppi_prediction_go
12420,12421,PIK3CB,CD247,ppi_bidir_r_go,ppi_prediction_go
12424,12425,PIK3CB,KLRK1,ppi_bidir_r_go,ppi_prediction_go
12427,12428,PIK3CB,AXL,ppi_bidir_r_go,ppi_prediction_go
12429,12430,PIK3CB,IL2RG,ppi_bidir_r_go,ppi_prediction_go
12431,12432,PIK3CB,CSF2RB,ppi_bidir_r_go,ppi_prediction_go
12441,12442,PIK3CB,TGFBR2,ppi_bidir_r_go,ppi_prediction_go
12455,12456,NPTN,DLG4,ppi_bidir_r_go,ppi_prediction_go
12517,12518,ITGB1,FAT1,ppi_bidir_bidir_go,ppi_prediction_go
12540,12541,HLA-DRA,CD4,kegg_cams,kegg
12541,12542,HLA-F,CD8A,kegg_cams,kegg
12581,12582,TNF,ICOS,ppi_lr,ppi_prediction
12586,12587,HLA-DRA,EPHB4,ppi_lr,ppi_prediction
12587,12588,HLA-DRA,PDCD1,ppi_lr,ppi_prediction
12588,12589,HLA-DRA,SCARB1,ppi_lr,ppi_prediction
12589,12590,HLA-DRA,PLXNA1,ppi_lr,ppi_prediction
12626,12627,HLA-DRA,PTPRC,ppi_l_bidir,ppi_prediction
12627,12628,HLA-DRA,CD274,ppi_l_bidir,ppi_prediction
12629,12630,ICAM1,SPN,ppi_bidir_bidir,ppi_prediction
12657,12658,PIK3CB,TNFRSF10A,ppi_bidir_r_go,ppi_prediction_go
