,names,scores,logfoldchanges,pvals,pvals_adj
26,CD8B,14.693675,2.1675563,4.860318848311555e-45,1.4453092772156006e-42
27,RPL30,14.460074,0.66138315,7.406446455959524e-44,2.1367045305558456e-41
28,RPL14,14.375335,0.8872384,1.5831084243708587e-43,4.499985696274166e-41
29,RPL36AL,14.072655,1.2932782,5.5887508738203526e-42,1.543213794858194e-39
30,RPL22,14.024748,1.1720035,1.0516117520063408e-41,2.8231393825736893e-39
31,RPL18A,13.956589,0.8341527,2.7571850984269253e-41,7.300497365410143e-39
32,LITAF,13.703099,1.6978365,5.598317613120228e-40,1.4427984152533452e-37
33,RPL6,13.67046,0.8278817,1.2529150135744906e-39,3.1451421165430296e-37
34,RPL18,13.569907,0.7602124,3.891958813474848e-39,9.644573321237862e-37
35,RPS3A,13.29602,0.7949384,7.328147411340582e-38,1.7273873330951475e-35
36,CTSW,13.293613,1.8229151,8.334470107492233e-38,1.9178211036633022e-35
37,RPLP0,13.276558,0.96746963,7.905785717925315e-38,1.841095567973234e-35
38,GSTP1,13.17311,2.0032027,4.621358075796811e-37,1.0267382787020293e-34
39,SELL,12.864406,3.0278766,6.966012437544916e-35,1.4478070366161901e-32
40,RPS27A,12.786262,0.6236136,3.033237066308872e-35,6.514382139409355e-33
41,RPS14,12.784349,0.6968661,3.003494970096133e-35,6.514382139409355e-33
42,HLA-C,12.622099,0.75629777,1.4717363547904642e-34,2.963249166848425e-32
43,CCR7,12.248519,2.267684,2.429178377747489e-32,4.742786753886991e-30
44,LDHA,12.097255,1.2853919,5.10982363479102e-32,9.778988221472832e-30
45,RPS4X,12.042274,0.650597,1.0416208049023206e-31,1.9547076250443644e-29
46,FAU,12.033027,0.6406894,1.4780137015953868e-31,2.7469737344362724e-29
47,RELB,12.007968,2.207343,2.9289540461992005e-31,5.391785977046129e-29
48,BCL3,11.821841,2.1779926,2.254676742989126e-30,3.9982244738749375e-28
49,RPS28,11.771789,0.5522225,1.9165767466021912e-30,3.4301399939883102e-28
50,BTG1,11.678375,0.892749,4.758897884117347e-30,8.286913261450829e-28
51,RPS23,11.551601,0.6832567,1.8019177294550978e-29,3.0822360878440345e-27
52,LTB,11.509559,1.8761265,4.2652818055142113e-29,7.169011479894276e-27
53,PIM3,11.500097,1.9879774,5.203098168205363e-29,8.595784999422346e-27
54,RPS3,11.449622,0.52872837,6.507991176445964e-29,1.0660420461824071e-26
55,TUBA4A,11.219924,1.3607608,5.893773713865309e-28,9.493396009608546e-26
56,RPS15A,11.197377,0.51418394,1.2179666711869062e-27,1.9296785071616154e-25
57,RPL5,11.024448,0.8540896,4.317663506101846e-27,6.676489432755406e-25
58,NDUFS5,11.019731,1.2805104,4.5799072445133714e-27,7.025795803904679e-25
59,SH2D2A,10.809215,1.7933431,5.271614202493802e-26,7.77824663511471e-24
60,RPL35A,10.7768,0.5727457,5.614095737428556e-26,8.220822462784589e-24
61,SELENOK,10.75516,1.2597454,6.492282797638181e-26,9.43528828537958e-24
62,FXYD5,10.529658,1.1718574,6.153565439767726e-25,8.74575488126988e-23
63,SERF2,10.421863,0.8849984,1.7985705645237335e-24,2.4482091860337496e-22
64,RPS5,10.187134,0.73102236,1.6389176249841857e-23,2.184733708504781e-21
65,RPL39,10.119119,0.553048,3.134876538791172e-23,4.1220427631492904e-21
66,B2M,10.07434,0.2877584,5.924464433724676e-23,7.685501546272769e-21
67,RPS7,10.068471,0.5848657,5.400249873385403e-23,7.052799310990977e-21
68,IL32,9.984634,0.7117834,1.1270915808029265e-22,1.4427518652542893e-20
69,NACA,9.784517,0.7759948,7.194846261803676e-22,8.857909770344155e-20
70,CST7,9.725614,0.890778,1.2266108043689732e-21,1.4911421533111878e-19
71,IGKV3-11,9.629254,2.8365505,5.809388296534074e-21,6.846930877055312e-19
72,PCBP2,9.569405,1.1649413,5.175168961789331e-21,6.13686140260282e-19
73,SPOCK2,9.396057,1.4145631,2.613564838468179e-20,3.025005674416253e-18
74,RPL13,9.299254,0.44459367,5.870211721769781e-20,6.6744307276522405e-18
75,COX5B,9.22017,1.194725,1.1756558104849461e-19,1.291150634139973e-17
76,CD55,9.161738,1.7414302,2.295317462418723e-19,2.4924826534321066e-17
77,EMD,9.100926,1.3875997,3.5523777799587596e-19,3.772742313671586e-17
78,RACK1,9.098337,0.7082144,3.304090579082031e-19,3.548042600170921e-17
79,NSMCE3,9.064568,1.7452011,5.4660139412802955e-19,5.741988232119936e-17
80,ATP6V0C,9.028157,1.0884377,6.075241106592628e-19,6.313351362867145e-17
81,RPL37,8.991018,0.51588875,8.3942921094296465e-19,8.67664557129228e-17
82,LIMD2,8.945187,1.0775311,1.2414008861851131e-18,1.2628967225827395e-16
83,NINJ1,8.900279,2.3944573,2.878021587299714e-18,2.8674886216967104e-16
84,RPL36,8.818558,0.5530547,3.614025645664831e-18,3.5280556416694703e-16
85,RPS18,8.794954,0.5652101,4.3989777616547496e-18,4.2513920577512327e-16
86,IGKV4-1,8.72606,2.819446,1.3093014780303418e-17,1.2345116228706573e-15
87,RPL7A,8.647363,0.4848284,1.5539069038177255e-17,1.4440128146102316e-15
88,EEF1G,8.59888,0.9581952,2.261701029150353e-17,2.052414046593764e-15
89,BIRC3,8.571904,1.305498,2.9390209259215145e-17,2.6422481617273003e-15
90,MX2,8.418759,2.363116,1.3812102638172407e-16,1.176097497327024e-14
91,SEC61B,8.377466,1.1578894,1.4224713575020452e-16,1.205918810050747e-14
92,GABARAPL1,8.359978,1.5605881,1.7578416646913622e-16,1.4837258313021548e-14
93,FOSL2,8.354164,1.5036839,1.835994795524017e-16,1.5362746061767845e-14
94,SARAF,8.310821,0.6870733,2.346196611746451e-16,1.946336236414041e-14
95,SERP1,8.303559,1.0250772,2.503115911846276e-16,2.0676379256443022e-14
96,EDF1,8.27521,1.0226684,3.1407219968823975e-16,2.5723311643110113e-14
97,RPLP1,8.206072,0.37742668,6.101799847390042e-16,4.9142370520917554e-14
98,COX4I1,8.198966,0.8129014,5.694686349634658e-16,4.605547801342607e-14
99,DUSP2,8.18848,0.8857719,6.45329178736336e-16,5.133155430368164e-14
100,RPLP2,8.1521635,0.4523477,8.240992830528354e-16,6.528284853331253e-14
101,YPEL5,8.128065,0.94741064,9.960873583265618e-16,7.826574206948827e-14
102,HINT1,8.126839,0.82439154,1.0056279390882031e-15,7.869547544386995e-14
103,SYTL3,8.072627,1.5965445,1.727666944028563e-15,1.3411274843826545e-13
104,S1PR1,7.9823008,2.2965379,3.966699653036318e-15,2.971796030757325e-13
105,IFI6,7.856262,1.6029688,9.263670701764571e-15,6.860440267984958e-13
106,IGHG1,7.809345,2.2629986,1.4845036867540947e-14,1.066690400047208e-12
107,EEF1B2,7.797347,0.7255872,1.2765708425150086e-14,9.276254817658872e-13
108,NOP53,7.79208,0.9960689,1.3380077767890517e-14,9.686274276238046e-13
109,GABARAP,7.7861595,0.93070316,1.3939552023103316e-14,1.005364183039418e-12
110,ARID5A,7.720009,1.2571921,2.398966293898742e-14,1.7047654226017934e-12
111,RPS21,7.6908107,0.48213777,2.847019657416134e-14,2.0083957284013305e-12
112,SELPLG,7.663635,1.1263509,3.600153599993012e-14,2.5304497794278157e-12
113,GZMB,7.6591077,2.0676665,4.5463797365718863e-14,3.1839483307318114e-12
114,FTL,7.6312885,0.7562846,4.6074409471875384e-14,3.2034973405823e-12
115,ISG15,7.57708,1.3053254,7.059412187774791e-14,4.855920931583592e-12
116,PFDN5,7.520512,0.6952463,1.0052422425606519e-13,6.817658704019243e-12
117,MX1,7.5092463,1.7233646,1.2447757926902174e-13,8.29664527479628e-12
118,RNF7,7.5054145,1.3234956,1.1920557567712508e-13,7.972749384993601e-12
119,IGKV3-20,7.489141,2.1917987,1.51169244507392e-13,1.0006679202340341e-11
120,MTFP1,7.452518,1.8045352,1.841486316070453e-13,1.21481532434559e-11
121,UQCR10,7.4383063,1.0497344,1.8642320426385815e-13,1.2256374541551409e-11
122,PASK,7.3519645,2.1138632,4.075553757603162e-13,2.5743914568859973e-11
123,RPL9,7.340773,0.61651385,3.7033183655026574e-13,2.350389323860385e-11
124,MIF,7.3217854,0.79149556,4.244422342765458e-13,2.672327018348975e-11
125,UBE2B,7.3126354,0.95688105,4.564772878037179e-13,2.864691394791579e-11
126,RPL26,7.283953,0.4330825,5.563043143284432e-13,3.4798725215710285e-11
127,CXCR5,7.262813,2.788911,8.545451668053861e-13,5.2771576770547305e-11
128,IL21R,7.242789,1.613426,8.208976665307884e-13,5.0856189090941054e-11
129,S1PR4,7.2155547,1.5990077,9.898657686052477e-13,6.093348866678609e-11
130,SATB1,7.1690526,2.2418306,1.4770325751878048e-12,8.921738326814087e-11
131,RNF19A,7.1003146,1.1325217,2.0819193806917766e-12,1.2497335313475573e-10
132,LY6E,7.078689,0.91739243,2.376517718734825e-12,1.4221582348428925e-10
133,FCMR,7.0685873,1.314951,2.6604539520011215e-12,1.582274290407067e-10
134,RPS19,7.020219,0.41633815,3.5373185808391916e-12,2.0782015455635481e-10
135,ICAM2,7.0139213,1.8280431,4.164809564541846e-12,2.432072630605116e-10
136,NXT1,6.9947014,1.4279425,4.4786439013845624e-12,2.5996308699658315e-10
137,USP36,6.9569316,1.3811141,5.7975537195633144e-12,3.325249728351315e-10
138,RPS6,6.924432,0.47199753,6.8931683712396604e-12,3.895849457534836e-10
139,RPL36A,6.918897,0.8247653,7.121832949373876e-12,4.013350118905179e-10
140,UQCR11,6.886863,0.8597278,8.845219345505593e-12,4.955630282008047e-10
141,ABLIM1,6.861011,1.4724646,1.1129291573713791e-11,6.1287201375588e-10
142,IGKV1-5,6.8261642,2.2488644,1.5046784065810076e-11,8.239073348669773e-10
143,ARHGDIB,6.824399,0.5960358,1.3428042213814932e-11,7.373597384966729e-10
144,EIF5A,6.7989297,1.0811784,1.6202480086494144e-11,8.846828745532353e-10
145,PPP2CA,6.7967715,1.3133976,1.6771419814877783e-11,9.131683763430216e-10
146,IGKC,6.7375135,1.956535,2.6693883164988866e-11,1.4332390769335273e-09
147,FAM89B,6.672308,3.4149432,4.798580224141913e-11,2.513597754808646e-09
148,PDE4D,6.6493254,1.4762496,4.558465724994223e-11,2.4008333514554045e-09
149,VPS37B,6.5792074,1.0948491,6.91407725124795e-11,3.5733208339404184e-09
150,NME2,6.576643,0.9961433,7.037603725195363e-11,3.6274624641146975e-09
151,LDHB,6.568593,0.84516126,7.33374933394005e-11,3.760054134634674e-09
152,PSME2,6.5594587,0.8307172,7.779224636832087e-11,3.9674045647843645e-09
153,ATP5MC2,6.5084763,0.6687097,1.076192166850487e-10,5.34748544808562e-09
154,S100A4,6.506079,0.86937606,1.0929960750244154e-10,5.389418656670134e-09
155,IFI44L,6.476998,2.2379348,1.4726832230810035e-10,7.134209027301433e-09
156,SNU13,6.439629,0.8844169,1.6865051922975128e-10,8.12929148676275e-09
157,BTF3,6.4191184,0.61787045,1.9082207822844163e-10,9.152357196222203e-09
158,RPS16,6.3299103,0.42565447,3.355926399340139e-10,1.57826524021522e-08
